product_id,product_name,tna,ms_rating,exp_ratio,market_cap
VBIIX,Vanguard Interm-Term Bond Index Inv,1534991164.00,5,0.16,Small
FSELX,Fidelity Select Electronics Portfolio,1533513593.00,3,0.77,Small
JAMRX,Janus Research T,1514319532.00,4,1.00,Small
VEIEX,Vanguard Emerging Mkts Stock Idx Inv,1484233056.00,3,0.33,Small
JNGLX,Janus Global Life Sciences D,1435461056.00,4,0.85,Small
FDESX,Fidelity Advisor Diversified Stock O,1427419402.00,2,0.53,Small
VIVAX,Vanguard Value Index Inv,1397484783.00,4,0.22,Small
LMVTX,ClearBridge Value C,1319414307.00,2,1.75,Small
VUSTX,Vanguard Long-Term Treasury Inv,1288965325.00,3,0.20,Small
PRESX,T. Rowe Price European Stock,1282346806.00,4,0.95,Small
HSCSX,Homestead Small Company Stock,1272524789.00,4,0.87,Small
FSCHX,Fidelity Select Chemicals Portfolio,1257700994.00,5,0.80,Small
USAUX,USAA Aggressive Growth,1163049632.00,3,0.78,Small
RIDEX,American Funds Inc Fund of Amer R4,1155897378.00,5,0.62,Small
FBDIX,Franklin Biotechnology Discovery A,1154815176.00,2,1.00,Small
OGBCX,JPMorgan Investor Balanced C,1154762675.00,3,1.76,Small
USAWX,USAA World Growth,1139102579.00,5,1.17,Small
MLPAX,Oppenheimer SteelPath MLP Alpha A,1108278506.00,3,1.52,Small
USHYX,USAA High Income,1075966162.00,4,0.89,Small
TOLLX,Deutsche Global Infrastructure A,1066421275.00,4,1.38,Small
USBSX,USAA Cornerstone Moderate,1064461990.00,2,1.09,Small
FSUTX,Fidelity Select Utilities Portfolio,1057558268.00,3,0.80,Small
LEXCX,Voya Corporate Leaders Trust B,1031281220.00,4,0.59,Small
MFLDX,MainStay Marketfield I,992013921.00,2,1.64,Small
TWGTX,American Century All Cap Growth Inv,990781819.00,3,1.00,Small
FSDAX,Fidelity Select Defense & Aero Port,984844890.00,5,0.80,Small
SWHFX,Schwab Health Care,971193228.00,3,0.79,Small
FHKCX,Fidelity China Region,965789079.00,4,0.99,Small
FSEMX,Fidelity Spartan Extended Mkt Index Inv,957344719.00,3,0.10,Small
GENIX,Gotham Enhanced Return Institutional,955062347.00,3,2.13,Small
VCVLX,Vanguard Capital Value Inv,934657052.00,2,0.50,Small
CGMRX,CGM Realty,927556268.00,2,0.92,Small
FSIIX,Fidelity Spartan International Idx Inv,925564193.00,3,0.19,Small
VDAIX,Vanguard Dividend Appreciation Idx Inv,886037501.00,4,0.19,Small
CGMFX,CGM Focus,846160809.00,1,1.13,Small
GAUCX,Gabelli Utilities C,830620145.00,2,2.14,Small
FNARX,Fidelity Select Natural Resources Port,809933032.00,3,0.86,Small
PGNAX,Prudential Jennison Natural Resources A,760759280.00,2,1.22,Small
FSTMX,Fidelity Spartan Total Market Idx Inv,701468799.00,4,0.09,Small
VEURX,Vanguard European Stock Index Inv,627204876.00,3,0.26,Small
JAOSX,Janus Overseas T,606658229.00,1,0.67,Small
PRLAX,T. Rowe Price Latin America,586927875.00,3,1.37,Small
HSGFX,Hussman Strategic Growth,580503279.00,1,1.13,Small
MCHFX,Matthews China Investor,553947850.00,3,1.14,Small
ICPAX,Integrity Williston Bsn/Md-N Amer Stk A,552049374.00,4,1.45,Small
FLATX,Fidelity Latin America,517302920.00,2,1.13,Small
FSESX,Fidelity Select Energy Service Port,500675708.00,2,0.85,Small
FSNGX,Fidelity Select Natural Gas Portfolio,417197049.00,3,0.89,Small
GABUX,Gabelli Utilities AAA,398880321.00,3,1.39,Small
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
